Mileage	Price	Make	Model	Trim	Type	Cyl	Liter	Doors	Cruise	Sound	Leather
25212	21341.25721	Buick	Lacrosse	CXS Sedan 4D	Sedan	6	3.8	4	1	1	1
26779	21683.03146	Buick	Lacrosse	CXS Sedan 4D	Sedan	6	3.8	4	1	1	0
27096	20986.01602	Buick	Lacrosse	CXS Sedan 4D	Sedan	6	3.8	4	1	0	0
29649	20902.10379	Buick	Lacrosse	CXS Sedan 4D	Sedan	6	3.8	4	1	1	1
2992	20698.07708	Buick	Lesabre	Custom Sedan 4D	Sedan	6	3.8	4	1	0	1
10036	20099.25684	Buick	Lesabre	Custom Sedan 4D	Sedan	6	3.8	4	1	1	1
18339	18145.12649	Buick	Lesabre	Custom Sedan 4D	Sedan	6	3.8	4	1	1	0
19592	17944.85692	Buick	Lesabre	Custom Sedan 4D	Sedan	6	3.8	4	1	0	0
21797	19027.86231	Buick	Lesabre	Custom Sedan 4D	Sedan	6	3.8	4	1	0	1
23852	18348.89857	Buick	Lesabre	Custom Sedan 4D	Sedan	6	3.8	4	1	1	0
25040	17750.88457	Buick	Lesabre	Custom Sedan 4D	Sedan	6	3.8	4	1	1	0
25052	17772.96968	Buick	Lesabre	Custom Sedan 4D	Sedan	6	3.8	4	1	1	0
25464	17394.0214	Buick	Lesabre	Custom Sedan 4D	Sedan	6	3.8	4	1	1	0
27830	17645.74504	Buick	Lesabre	Custom Sedan 4D	Sedan	6	3.8	4	1	1	1
17353	21908.36662	Buick	Lesabre	Limited Sedan 4D	Sedan	6	3.8	4	1	0	0
17787	21956.34266	Buick	Lesabre	Limited Sedan 4D	Sedan	6	3.8	4	1	1	0
19562	21646.11692	Buick	Lesabre	Limited Sedan 4D	Sedan	6	3.8	4	1	1	1
20137	21575.45683	Buick	Lesabre	Limited Sedan 4D	Sedan	6	3.8	4	1	1	0
20158	20952.2178	Buick	Lesabre	Limited Sedan 4D	Sedan	6	3.8	4	1	1	0
23767	21562.04758	Buick	Lesabre	Limited Sedan 4D	Sedan	6	3.8	4	1	0	1
24323	19981.12791	Buick	Lesabre	Limited Sedan 4D	Sedan	6	3.8	4	1	1	0
27839	19425.84862	Buick	Lesabre	Limited Sedan 4D	Sedan	6	3.8	4	1	1	0
29187	19191.98962	Buick	Lesabre	Limited Sedan 4D	Sedan	6	3.8	4	1	1	1
31324	19641.7419	Buick	Lesabre	Limited Sedan 4D	Sedan	6	3.8	4	1	1	1
2308	25589.98315	Buick	Park Avenue	Sedan 4D	Sedan	6	3.8	4	1	1	0
10014	25098.62906	Buick	Park Avenue	Sedan 4D	Sedan	6	3.8	4	1	1	0
18910	23420.70695	Buick	Park Avenue	Sedan 4D	Sedan	6	3.8	4	1	0	1
20105	22661.04849	Buick	Park Avenue	Sedan 4D	Sedan	6	3.8	4	1	0	0
20453	23493.0823	Buick	Park Avenue	Sedan 4D	Sedan	6	3.8	4	1	1	0
22287	22435.20282	Buick	Park Avenue	Sedan 4D	Sedan	6	3.8	4	1	1	1
23237	21878.12	Buick	Park Avenue	Sedan 4D	Sedan	6	3.8	4	1	1	0
23798	23077.56591	Buick	Park Avenue	Sedan 4D	Sedan	6	3.8	4	1	0	1
25489	21698.01475	Buick	Park Avenue	Sedan 4D	Sedan	6	3.8	4	1	1	1
25564	21831.82292	Buick	Park Avenue	Sedan 4D	Sedan	6	3.8	4	1	1	1
4695	26831.19404	Buick	Park Avenue	Special Ed Ultra 4D	Sedan	6	3.8	4	1	1	0
9795	26060.33535	Buick	Park Avenue	Special Ed Ultra 4D	Sedan	6	3.8	4	1	1	0
12052	26781.81465	Buick	Park Avenue	Special Ed Ultra 4D	Sedan	6	3.8	4	1	1	0
13050	26302.07428	Buick	Park Avenue	Special Ed Ultra 4D	Sedan	6	3.8	4	1	1	0
17335	26190.27147	Buick	Park Avenue	Special Ed Ultra 4D	Sedan	6	3.8	4	1	0	1
17480	25508.21096	Buick	Park Avenue	Special Ed Ultra 4D	Sedan	6	3.8	4	1	1	0
24027	23348.01695	Buick	Park Avenue	Special Ed Ultra 4D	Sedan	6	3.8	4	1	0	1
25387	23406.68982	Buick	Park Avenue	Special Ed Ultra 4D	Sedan	6	3.8	4	1	0	1
25869	23159.54378	Buick	Park Avenue	Special Ed Ultra 4D	Sedan	6	3.8	4	1	0	0
37128	21536.74173	Buick	Park Avenue	Special Ed Ultra 4D	Sedan	6	3.8	4	1	1	1
2202	51154.04722	Cadillac	CST-V	Sedan 4D	Sedan	8	5.7	4	1	1	1
6685	49248.15897	Cadillac	CST-V	Sedan 4D	Sedan	8	5.7	4	1	0	1
15343	46747.67327	Cadillac	CST-V	Sedan 4D	Sedan	8	5.7	4	1	1	1
21341	44130.61706	Cadillac	CST-V	Sedan 4D	Sedan	8	5.7	4	1	0	1
21367	44084.91421	Cadillac	CST-V	Sedan 4D	Sedan	8	5.7	4	1	1	1
23371	43892.46788	Cadillac	CST-V	Sedan 4D	Sedan	8	5.7	4	1	0	1
23751	44300.63996	Cadillac	CST-V	Sedan 4D	Sedan	8	5.7	4	1	0	1
24052	42677.60112	Cadillac	CST-V	Sedan 4D	Sedan	8	5.7	4	1	0	1
25199	43374.05242	Cadillac	CST-V	Sedan 4D	Sedan	8	5.7	4	1	1	1
30082	40619.07227	Cadillac	CST-V	Sedan 4D	Sedan	8	5.7	4	1	1	1
6598	33417.96501	Cadillac	CTS	Sedan 4D	Sedan	6	2.8	4	1	1	1
10625	30957.08075	Cadillac	CTS	Sedan 4D	Sedan	6	2.8	4	1	1	1
11013	31431.13037	Cadillac	CTS	Sedan 4D	Sedan	6	2.8	4	1	1	1
14937	30781.51563	Cadillac	CTS	Sedan 4D	Sedan	6	2.8	4	1	1	1
17094	30646.4377	Cadillac	CTS	Sedan 4D	Sedan	6	2.8	4	1	1	1
17870	30792.14903	Cadillac	CTS	Sedan 4D	Sedan	6	2.8	4	1	1	1
18449	30392.75016	Cadillac	CTS	Sedan 4D	Sedan	6	2.8	4	1	1	1
21039	28817.08185	Cadillac	CTS	Sedan 4D	Sedan	6	2.8	4	1	0	1
21056	29275.20871	Cadillac	CTS	Sedan 4D	Sedan	6	2.8	4	1	1	1
27484	28040.12853	Cadillac	CTS	Sedan 4D	Sedan	6	2.8	4	1	1	1
14095	39801.55135	Cadillac	Deville	DHS Sedan 4D	Sedan	8	4.6	4	1	0	1
14743	40335.73731	Cadillac	Deville	DHS Sedan 4D	Sedan	8	4.6	4	1	0	1
16041	39307.00916	Cadillac	Deville	DHS Sedan 4D	Sedan	8	4.6	4	1	0	1
17138	38600.23956	Cadillac	Deville	DHS Sedan 4D	Sedan	8	4.6	4	1	0	1
18661	38445.89717	Cadillac	Deville	DHS Sedan 4D	Sedan	8	4.6	4	1	0	1
21966	36077.79612	Cadillac	Deville	DHS Sedan 4D	Sedan	8	4.6	4	1	0	1
24415	35866.58271	Cadillac	Deville	DHS Sedan 4D	Sedan	8	4.6	4	1	1	1
25163	35338.65369	Cadillac	Deville	DHS Sedan 4D	Sedan	8	4.6	4	1	0	1
25339	36154.30355	Cadillac	Deville	DHS Sedan 4D	Sedan	8	4.6	4	1	1	1
25421	34685.66298	Cadillac	Deville	DHS Sedan 4D	Sedan	8	4.6	4	1	0	1
5499	42820.32902	Cadillac	Deville	DTS Sedan 4D	Sedan	8	4.6	4	1	0	1
8125	41378.04809	Cadillac	Deville	DTS Sedan 4D	Sedan	8	4.6	4	1	0	1
12791	40856.3909	Cadillac	Deville	DTS Sedan 4D	Sedan	8	4.6	4	1	1	1
14452	41419.03726	Cadillac	Deville	DTS Sedan 4D	Sedan	8	4.6	4	1	0	1
21593	37510.25357	Cadillac	Deville	DTS Sedan 4D	Sedan	8	4.6	4	1	0	1
22211	37215.16938	Cadillac	Deville	DTS Sedan 4D	Sedan	8	4.6	4	1	0	1
25153	36332.89469	Cadillac	Deville	DTS Sedan 4D	Sedan	8	4.6	4	1	0	1
26250	36245.15823	Cadillac	Deville	DTS Sedan 4D	Sedan	8	4.6	4	1	1	1
36074	32954.14134	Cadillac	Deville	DTS Sedan 4D	Sedan	8	4.6	4	1	0	1
41829	32537.18675	Cadillac	Deville	DTS Sedan 4D	Sedan	8	4.6	4	1	1	1
6447	35715.76856	Cadillac	Deville	Sedan 4D	Sedan	8	4.6	4	1	0	1
10555	35651.68002	Cadillac	Deville	Sedan 4D	Sedan	8	4.6	4	1	1	1
11975	35129.34077	Cadillac	Deville	Sedan 4D	Sedan	8	4.6	4	1	1	1
13449	35165.75937	Cadillac	Deville	Sedan 4D	Sedan	8	4.6	4	1	1	1
17508	32501.24519	Cadillac	Deville	Sedan 4D	Sedan	8	4.6	4	1	0	1
18661	33220.02845	Cadillac	Deville	Sedan 4D	Sedan	8	4.6	4	1	0	1
20910	32509.47829	Cadillac	Deville	Sedan 4D	Sedan	8	4.6	4	1	0	1
23124	31132.21349	Cadillac	Deville	Sedan 4D	Sedan	8	4.6	4	1	1	1
26222	31181.71516	Cadillac	Deville	Sedan 4D	Sedan	8	4.6	4	1	0	1
27544	31059.18103	Cadillac	Deville	Sedan 4D	Sedan	8	4.6	4	1	1	1
2846	42741.52367	Cadillac	STS-V6	Sedan 4D	Sedan	6	3.6	4	1	0	1
7476	40966.60741	Cadillac	STS-V6	Sedan 4D	Sedan	6	3.6	4	1	1	1
13973	38795.37909	Cadillac	STS-V6	Sedan 4D	Sedan	6	3.6	4	1	1	1
16754	38297.46254	Cadillac	STS-V6	Sedan 4D	Sedan	6	3.6	4	1	0	1
19100	37192.89637	Cadillac	STS-V6	Sedan 4D	Sedan	6	3.6	4	1	0	1
21778	36210.123	Cadillac	STS-V6	Sedan 4D	Sedan	6	3.6	4	1	0	1
22042	36633.63382	Cadillac	STS-V6	Sedan 4D	Sedan	6	3.6	4	1	1	1
23056	35895.49941	Cadillac	STS-V6	Sedan 4D	Sedan	6	3.6	4	1	1	1
25796	34974.37804	Cadillac	STS-V6	Sedan 4D	Sedan	6	3.6	4	1	1	1
35326	32038.33956	Cadillac	STS-V6	Sedan 4D	Sedan	6	3.6	4	1	1	1
788	48310.32954	Cadillac	STS-V8	Sedan 4D	Sedan	8	4.6	4	1	0	1
2616	48365.9809	Cadillac	STS-V8	Sedan 4D	Sedan	8	4.6	4	1	1	1
13829	45061.95194	Cadillac	STS-V8	Sedan 4D	Sedan	8	4.6	4	1	1	1
15104	44205.87588	Cadillac	STS-V8	Sedan 4D	Sedan	8	4.6	4	1	0	1
18581	42377.95544	Cadillac	STS-V8	Sedan 4D	Sedan	8	4.6	4	1	0	1
20575	41671.58314	Cadillac	STS-V8	Sedan 4D	Sedan	8	4.6	4	1	0	1
23861	41516.42986	Cadillac	STS-V8	Sedan 4D	Sedan	8	4.6	4	1	1	1
25717	41053.48217	Cadillac	STS-V8	Sedan 4D	Sedan	8	4.6	4	1	1	1
31303	38208.50102	Cadillac	STS-V8	Sedan 4D	Sedan	8	4.6	4	1	1	1
31587	39072.39205	Cadillac	STS-V8	Sedan 4D	Sedan	8	4.6	4	1	0	1
583	70755.46672	Cadillac	XLR-V8	Hardtop Conv 2D	Convertible	8	4.6	2	1	1	1
6420	68566.18719	Cadillac	XLR-V8	Hardtop Conv 2D	Convertible	8	4.6	2	1	1	1
7892	69133.73172	Cadillac	XLR-V8	Hardtop Conv 2D	Convertible	8	4.6	2	1	1	1
12021	66374.30704	Cadillac	XLR-V8	Hardtop Conv 2D	Convertible	8	4.6	2	1	1	1
15600	65281.48124	Cadillac	XLR-V8	Hardtop Conv 2D	Convertible	8	4.6	2	1	1	1
18200	63913.11725	Cadillac	XLR-V8	Hardtop Conv 2D	Convertible	8	4.6	2	1	1	1
23193	60567.54909	Cadillac	XLR-V8	Hardtop Conv 2D	Convertible	8	4.6	2	1	1	1
29260	57154.44344	Cadillac	XLR-V8	Hardtop Conv 2D	Convertible	8	4.6	2	1	1	1
31805	55639.08765	Cadillac	XLR-V8	Hardtop Conv 2D	Convertible	8	4.6	2	1	0	1
42691	52001.99438	Cadillac	XLR-V8	Hardtop Conv 2D	Convertible	8	4.6	2	1	1	1
10011	12146.18803	Chevrolet	AVEO	LS Hatchback 4D	Hatchback	4	1.6	4	0	0	1
12101	12163.82042	Chevrolet	AVEO	LS Hatchback 4D	Hatchback	4	1.6	4	0	0	1
19699	11472.02276	Chevrolet	AVEO	LS Hatchback 4D	Hatchback	4	1.6	4	0	0	1
20100	11017.16871	Chevrolet	AVEO	LS Hatchback 4D	Hatchback	4	1.6	4	0	1	0
20334	11096.85727	Chevrolet	AVEO	LS Hatchback 4D	Hatchback	4	1.6	4	1	0	0
22225	10386.04022	Chevrolet	AVEO	LS Hatchback 4D	Hatchback	4	1.6	4	0	0	0
22484	11137.04565	Chevrolet	AVEO	LS Hatchback 4D	Hatchback	4	1.6	4	0	1	1
24568	11045.10884	Chevrolet	AVEO	LS Hatchback 4D	Hatchback	4	1.6	4	1	0	1
27906	10777.05254	Chevrolet	AVEO	LS Hatchback 4D	Hatchback	4	1.6	4	0	0	0
29680	9928.188175	Chevrolet	AVEO	LS Hatchback 4D	Hatchback	4	1.6	4	0	0	1
3629	12649.11089	Chevrolet	AVEO	LS Sedan 4D	Sedan	4	1.6	4	0	1	0
4142	12314.59122	Chevrolet	AVEO	LS Sedan 4D	Sedan	4	1.6	4	0	1	0
11156	11318.00809	Chevrolet	AVEO	LS Sedan 4D	Sedan	4	1.6	4	0	1	1
11981	12409.94909	Chevrolet	AVEO	LS Sedan 4D	Sedan	4	1.6	4	1	1	1
13404	11555.2674	Chevrolet	AVEO	LS Sedan 4D	Sedan	4	1.6	4	1	1	0
15253	11700.11149	Chevrolet	AVEO	LS Sedan 4D	Sedan	4	1.6	4	1	0	0
19945	11215.01865	Chevrolet	AVEO	LS Sedan 4D	Sedan	4	1.6	4	0	0	0
23963	10144.95208	Chevrolet	AVEO	LS Sedan 4D	Sedan	4	1.6	4	1	1	0
30948	10491.0752	Chevrolet	AVEO	LS Sedan 4D	Sedan	4	1.6	4	0	1	0
37345	9954.054174	Chevrolet	AVEO	LS Sedan 4D	Sedan	4	1.6	4	0	1	1
20156	11031.12993	Chevrolet	AVEO	LT Hatchback 4D	Hatchback	4	1.6	4	0	1	1
20186	11343.05401	Chevrolet	AVEO	LT Hatchback 4D	Hatchback	4	1.6	4	1	1	1
21421	11391.21372	Chevrolet	AVEO	LT Hatchback 4D	Hatchback	4	1.6	4	0	1	1
21427	11247.86253	Chevrolet	AVEO	LT Hatchback 4D	Hatchback	4	1.6	4	1	1	1
23119	10921.94537	Chevrolet	AVEO	LT Hatchback 4D	Hatchback	4	1.6	4	0	1	1
23121	11179.95357	Chevrolet	AVEO	LT Hatchback 4D	Hatchback	4	1.6	4	0	1	1
25107	11394.8864	Chevrolet	AVEO	LT Hatchback 4D	Hatchback	4	1.6	4	0	1	1
25476	11070.06064	Chevrolet	AVEO	LT Hatchback 4D	Hatchback	4	1.6	4	0	1	1
25746	11013.87137	Chevrolet	AVEO	LT Hatchback 4D	Hatchback	4	1.6	4	1	1	1
30056	11115.01364	Chevrolet	AVEO	LT Hatchback 4D	Hatchback	4	1.6	4	1	1	1
7278	11918.45607	Chevrolet	AVEO	LT Sedan 4D	Sedan	4	1.6	4	0	0	0
10213	12408.80615	Chevrolet	AVEO	LT Sedan 4D	Sedan	4	1.6	4	0	0	1
14627	11302.90299	Chevrolet	AVEO	LT Sedan 4D	Sedan	4	1.6	4	0	1	0
19014	11615.02102	Chevrolet	AVEO	LT Sedan 4D	Sedan	4	1.6	4	0	1	1
21013	10805.13009	Chevrolet	AVEO	LT Sedan 4D	Sedan	4	1.6	4	1	1	1
22380	11169.91839	Chevrolet	AVEO	LT Sedan 4D	Sedan	4	1.6	4	0	1	0
25065	10770.10655	Chevrolet	AVEO	LT Sedan 4D	Sedan	4	1.6	4	0	1	0
25869	10872.01393	Chevrolet	AVEO	LT Sedan 4D	Sedan	4	1.6	4	0	0	0
27776	10921.94537	Chevrolet	AVEO	LT Sedan 4D	Sedan	4	1.6	4	1	0	0
34621	9919.048185	Chevrolet	AVEO	LT Sedan 4D	Sedan	4	1.6	4	0	1	0
266	10813.34352	Chevrolet	AVEO	SVM Hatchback 4D	Hatchback	4	1.6	4	1	0	1
4716	11167.861	Chevrolet	AVEO	SVM Hatchback 4D	Hatchback	4	1.6	4	1	1	0
6699	10897.07651	Chevrolet	AVEO	SVM Hatchback 4D	Hatchback	4	1.6	4	0	1	1
14200	10106.01643	Chevrolet	AVEO	SVM Hatchback 4D	Hatchback	4	1.6	4	1	0	0
14521	10354.04385	Chevrolet	AVEO	SVM Hatchback 4D	Hatchback	4	1.6	4	0	1	0
16521	10287.97736	Chevrolet	AVEO	SVM Hatchback 4D	Hatchback	4	1.6	4	1	1	1
20836	9720.97889	Chevrolet	AVEO	SVM Hatchback 4D	Hatchback	4	1.6	4	1	1	0
22169	9506.047937	Chevrolet	AVEO	SVM Hatchback 4D	Hatchback	4	1.6	4	0	0	1
22986	9789.037676	Chevrolet	AVEO	SVM Hatchback 4D	Hatchback	4	1.6	4	0	1	1
29992	9220.829677	Chevrolet	AVEO	SVM Hatchback 4D	Hatchback	4	1.6	4	1	0	1
7091	10971.09561	Chevrolet	AVEO	SVM Sedan 4D	Sedan	4	1.6	4	1	0	0
14438	10315.01823	Chevrolet	AVEO	SVM Sedan 4D	Sedan	4	1.6	4	0	0	1
19183	9654.060142	Chevrolet	AVEO	SVM Sedan 4D	Sedan	4	1.6	4	0	0	0
19273	9563.789309	Chevrolet	AVEO	SVM Sedan 4D	Sedan	4	1.6	4	1	1	0
19565	9665.84886	Chevrolet	AVEO	SVM Sedan 4D	Sedan	4	1.6	4	0	1	1
24842	9482.219404	Chevrolet	AVEO	SVM Sedan 4D	Sedan	4	1.6	4	1	0	0
25216	8638.930895	Chevrolet	AVEO	SVM Sedan 4D	Sedan	4	1.6	4	0	0	0
26191	9041.906254	Chevrolet	AVEO	SVM Sedan 4D	Sedan	4	1.6	4	0	0	1
32914	8870.947316	Chevrolet	AVEO	SVM Sedan 4D	Sedan	4	1.6	4	1	1	0
35299	8768.998585	Chevrolet	AVEO	SVM Sedan 4D	Sedan	4	1.6	4	0	0	0
7372	13007.98418	Chevrolet	Cavalier	Coupe 2D	Coupe	4	2.2	2	1	1	1
13607	13041.874	Chevrolet	Cavalier	Coupe 2D	Coupe	4	2.2	2	0	1	1
19136	12045.9207	Chevrolet	Cavalier	Coupe 2D	Coupe	4	2.2	2	0	1	1
19712	12469.52758	Chevrolet	Cavalier	Coupe 2D	Coupe	4	2.2	2	0	1	1
22405	11539.84565	Chevrolet	Cavalier	Coupe 2D	Coupe	4	2.2	2	0	1	1
23103	11726.00297	Chevrolet	Cavalier	Coupe 2D	Coupe	4	2.2	2	0	1	1
23512	12207.87293	Chevrolet	Cavalier	Coupe 2D	Coupe	4	2.2	2	1	1	1
27364	11203.14611	Chevrolet	Cavalier	Coupe 2D	Coupe	4	2.2	2	1	1	1
31436	10788.97036	Chevrolet	Cavalier	Coupe 2D	Coupe	4	2.2	2	1	1	1
34447	11149.6183	Chevrolet	Cavalier	Coupe 2D	Coupe	4	2.2	2	1	1	1
1160	14584.44812	Chevrolet	Cavalier	LS Coupe 2D	Coupe	4	2.2	2	1	1	1
10210	13681.698	Chevrolet	Cavalier	LS Coupe 2D	Coupe	4	2.2	2	1	1	1
17741	13446.21342	Chevrolet	Cavalier	LS Coupe 2D	Coupe	4	2.2	2	0	1	1
19347	12327.64161	Chevrolet	Cavalier	LS Coupe 2D	Coupe	4	2.2	2	0	1	1
19612	12274.95758	Chevrolet	Cavalier	LS Coupe 2D	Coupe	4	2.2	2	1	1	1
22571	12630.77503	Chevrolet	Cavalier	LS Coupe 2D	Coupe	4	2.2	2	1	1	1
22771	12425.38917	Chevrolet	Cavalier	LS Coupe 2D	Coupe	4	2.2	2	0	1	1
24568	12319.69625	Chevrolet	Cavalier	LS Coupe 2D	Coupe	4	2.2	2	1	1	1
25816	12549.89233	Chevrolet	Cavalier	LS Coupe 2D	Coupe	4	2.2	2	0	1	1
30297	12234.88805	Chevrolet	Cavalier	LS Coupe 2D	Coupe	4	2.2	2	1	1	1
2464	14894.98259	Chevrolet	Cavalier	LS Sedan 4D	Sedan	4	2.2	4	0	1	1
11322	14198.09246	Chevrolet	Cavalier	LS Sedan 4D	Sedan	4	2.2	4	1	1	1
11488	14678.10533	Chevrolet	Cavalier	LS Sedan 4D	Sedan	4	2.2	4	1	1	1
14630	13167.70232	Chevrolet	Cavalier	LS Sedan 4D	Sedan	4	2.2	4	0	1	1
18910	13471.00508	Chevrolet	Cavalier	LS Sedan 4D	Sedan	4	2.2	4	1	1	1
25048	12573.89994	Chevrolet	Cavalier	LS Sedan 4D	Sedan	4	2.2	4	1	1	1
25069	12383.40281	Chevrolet	Cavalier	LS Sedan 4D	Sedan	4	2.2	4	1	1	1
25862	13230.91867	Chevrolet	Cavalier	LS Sedan 4D	Sedan	4	2.2	4	0	1	1
36855	11080.51638	Chevrolet	Cavalier	LS Sedan 4D	Sedan	4	2.2	4	0	1	1
39946	11328.95887	Chevrolet	Cavalier	LS Sedan 4D	Sedan	4	2.2	4	1	1	1
4652	15053.93373	Chevrolet	Cavalier	LS Sport Coupe 2D	Coupe	4	2.2	2	1	1	1
5189	14397.92808	Chevrolet	Cavalier	LS Sport Coupe 2D	Coupe	4	2.2	2	0	1	1
6224	14642.32358	Chevrolet	Cavalier	LS Sport Coupe 2D	Coupe	4	2.2	2	0	1	1
14231	13464.80288	Chevrolet	Cavalier	LS Sport Coupe 2D	Coupe	4	2.2	2	1	1	1
17971	13678.863	Chevrolet	Cavalier	LS Sport Coupe 2D	Coupe	4	2.2	2	1	1	1
19715	12507.48527	Chevrolet	Cavalier	LS Sport Coupe 2D	Coupe	4	2.2	2	1	1	1
19898	13141.04795	Chevrolet	Cavalier	LS Sport Coupe 2D	Coupe	4	2.2	2	1	1	1
20682	13594.08559	Chevrolet	Cavalier	LS Sport Coupe 2D	Coupe	4	2.2	2	1	1	1
21386	12733.85792	Chevrolet	Cavalier	LS Sport Coupe 2D	Coupe	4	2.2	2	1	1	1
28408	12230.09977	Chevrolet	Cavalier	LS Sport Coupe 2D	Coupe	4	2.2	2	0	1	1
8427	14222.3054	Chevrolet	Cavalier	LS Sport Sedan 4D	Sedan	4	2.2	4	0	1	1
8615	14266.91258	Chevrolet	Cavalier	LS Sport Sedan 4D	Sedan	4	2.2	4	0	1	1
16958	14255.74768	Chevrolet	Cavalier	LS Sport Sedan 4D	Sedan	4	2.2	4	0	1	1
18040	13762.90145	Chevrolet	Cavalier	LS Sport Sedan 4D	Sedan	4	2.2	4	1	1	1
18533	14275.12764	Chevrolet	Cavalier	LS Sport Sedan 4D	Sedan	4	2.2	4	1	1	1
18766	13688.00011	Chevrolet	Cavalier	LS Sport Sedan 4D	Sedan	4	2.2	4	1	1	1
20043	13308.83375	Chevrolet	Cavalier	LS Sport Sedan 4D	Sedan	4	2.2	4	0	1	1
20512	14145.88099	Chevrolet	Cavalier	LS Sport Sedan 4D	Sedan	4	2.2	4	1	1	1
21684	12944.93875	Chevrolet	Cavalier	LS Sport Sedan 4D	Sedan	4	2.2	4	0	1	1
27560	12846.06159	Chevrolet	Cavalier	LS Sport Sedan 4D	Sedan	4	2.2	4	1	1	1
4922	14061.12277	Chevrolet	Cavalier	Sedan 4D	Sedan	4	2.2	4	0	1	1
14311	13072.84163	Chevrolet	Cavalier	Sedan 4D	Sedan	4	2.2	4	0	1	1
19816	11699.03392	Chevrolet	Cavalier	Sedan 4D	Sedan	4	2.2	4	1	1	1
21492	12257.16409	Chevrolet	Cavalier	Sedan 4D	Sedan	4	2.2	4	1	1	1
21525	11574.17381	Chevrolet	Cavalier	Sedan 4D	Sedan	4	2.2	4	0	1	1
24163	11539.04853	Chevrolet	Cavalier	Sedan 4D	Sedan	4	2.2	4	0	1	1
25014	12243.06062	Chevrolet	Cavalier	Sedan 4D	Sedan	4	2.2	4	1	1	1
25727	11671.85813	Chevrolet	Cavalier	Sedan 4D	Sedan	4	2.2	4	1	1	1
29410	11464.62886	Chevrolet	Cavalier	Sedan 4D	Sedan	4	2.2	4	1	1	1
38866	10546.78275	Chevrolet	Cavalier	Sedan 4D	Sedan	4	2.2	4	1	1	1
